Discipline,NOC,Number of Athletes
Shooting,Bosnia and Herzegovina,1
Shooting,Brazil,1
Shooting,Bulgaria,3
Shooting,Canada,1
Shooting,Chile,1
Shooting,Chinese Taipei,5
Shooting,Colombia,1
Shooting,Croatia,4
Shooting,Cuba,5
Shooting,Cyprus,3
Shooting,Czech Republic,8
Shooting,Denmark,3
Shooting,Ecuador,1
Shooting,Egypt,10
Shooting,Estonia,1
Shooting,Finland,3
Shooting,France,10
Shooting,Georgia,1
Shooting,Germany,8
Shooting,Great Britain,5
Shooting,Greece,2
Shooting,Guatemala,3
Shooting,Hungary,4
Shooting,Iceland,1
Shooting,India,13
Shooting,Indonesia,1
Shooting,Iraq,1
Shooting,Ireland,1
Shooting,Islamic Republic of Iran,6
Shooting,Israel,1
Shooting,Italy,14
Shooting,Japan,12
Shooting,Jordan,1
Shooting,Kazakhstan,3
Shooting,Kosovo,1
Shooting,Kuwait,4
Shooting,Kyrgyzstan,1
Shooting,Latvia,1
Shooting,Lebanon,1
Shooting,Lithuania,1
Shooting,Malaysia,1
Shooting,Malta,1
Shooting,Mexico,4
Shooting,Mongolia,4
Shooting,Montenegro,1
Shooting,Morocco,1
Shooting,Myanmar,1
Shooting,Nepal,1
Shooting,New Zealand,2
Shooting,Nicaragua,1
Shooting,North Macedonia,1
Shooting,Norway,5
Shooting,Oman,1
Shooting,Pakistan,3
Shooting,People's Republic of China,24
Shooting,Peru,3
Shooting,Philippines,1
Shooting,Poland,4
Shooting,Portugal,1
Shooting,Puerto Rico,1
Shooting,Qatar,1
Shooting,ROC,17
Shooting,Refugee Olympic Team,1
Shooting,Republic of Korea,15
Shooting,Republic of Moldova,1
Shooting,Romania,1
Shooting,San Marino,1
Shooting,Saudi Arabia,1
Shooting,Senegal,1
Shooting,Serbia,6
Shooting,Singapore,1
Shooting,Slovakia,7
Shooting,Slovenia,1
Shooting,Spain,2
Shooting,Sri Lanka,1
Shooting,Sweden,1
Shooting,Switzerland,2
Shooting,Thailand,6
Shooting,Tunisia,2
Shooting,Turkey,4
Shooting,Ukraine,6
Shooting,United Arab Emirates,1
Shooting,United States of America,19
Shooting,Venezuela,1
Shooting,Vietnam,1
Shooting,Yemen,1
Skateboarding,Australia,5
Skateboarding,Austria,1
Skateboarding,Belgium,2
Skateboarding,Brazil,12
Skateboarding,Canada,4
Skateboarding,Chile,1
Skateboarding,Colombia,1
Skateboarding,Denmark,1
Skateboarding,Finland,1
Skateboarding,France,5
Skateboarding,Germany,2
Skateboarding,Great Britain,1
Skateboarding,Italy,3
Skateboarding,Japan,10
Skateboarding,Netherlands,2
Skateboarding,People's Republic of China,2
Skateboarding,Peru,1
Skateboarding,Philippines,1
Skateboarding,Poland,1
Skateboarding,Portugal,1
Skateboarding,Puerto Rico,1
Skateboarding,South Africa,3
Skateboarding,Spain,4
Skateboarding,Sweden,1
Skateboarding,United States of America,11
Sport Climbing,Australia,2
Sport Climbing,Austria,2
Sport Climbing,Canada,2
Sport Climbing,Czech Republic,1
Sport Climbing,France,4
Sport Climbing,Germany,1
Sport Climbing,Great Britain,1
Sport Climbing,Italy,3
Sport Climbing,Japan,4
Sport Climbing,Kazakhstan,1
Sport Climbing,People's Republic of China,2
Sport Climbing,Poland,1
Sport Climbing,ROC,2
Sport Climbing,Republic of Korea,2
Sport Climbing,Slovenia,2
Sport Climbing,South Africa,2
Sport Climbing,Spain,1
Sport Climbing,Switzerland,1
Sport Climbing,United States of America,3
Surfing,Argentina,1
Surfing,Australia,4
Surfing,Brazil,4
Surfing,Chile,1
Surfing,Costa Rica,2
Surfing,Ecuador,1
Surfing,France,4
Surfing,Germany,1
Surfing,Indonesia,1
Surfing,Israel,1
Surfing,Italy,1
Surfing,Japan,3
Surfing,Morocco,1
Surfing,New Zealand,2
Surfing,Peru,4
Surfing,Portugal,2
Surfing,South Africa,1
Surfing,United States of America,4
Swimming,Afghanistan,1
Swimming,Albania,2
Swimming,Algeria,2
Swimming,American Samoa,1
Swimming,Angola,2
Swimming,Antigua and Barbuda,2
Swimming,Argentina,3
Swimming,Armenia,2
Swimming,Aruba,2
Swimming,Australia,30
Swimming,Austria,7
Swimming,Azerbaijan,2
Swimming,Bahamas,2
Swimming,Bahrain,2
Swimming,Bangladesh,2
Swimming,Barbados,1
Swimming,Belarus,5
Swimming,Belgium,2
Swimming,Benin,2
Swimming,Bhutan,1
Swimming,Bolivia,2
Swimming,Bosnia and Herzegovina,2
Swimming,Botswana,1
Swimming,Brazil,17
Swimming,Brunei Darussalam,1
Swimming,Bulgaria,5
Swimming,Burkina Faso,2
Swimming,Burundi,2
Swimming,Cambodia,2
Swimming,Cameroon,2
Swimming,Canada,20
Swimming,Cape Verde,2
Swimming,Cayman Islands,2
Swimming,Central African Republic,1
Swimming,Chile,2
Swimming,Chinese Taipei,3
Swimming,Colombia,2
Swimming,Congo,1
Swimming,Cook Islands,2
Swimming,Costa Rica,2
Swimming,Croatia,2
Swimming,Cuba,2
Swimming,Cyprus,2
Swimming,Czech Republic,8
Swimming,Côte d'Ivoire,1
Swimming,Democratic Republic of Timor-Leste,2
Swimming,Denmark,9
Swimming,Djibouti,1
Swimming,Dominican Republic,2
Swimming,Ecuador,2
Swimming,Egypt,4
Swimming,El Salvador,2
Swimming,Equatorial Guinea,1
Swimming,Eritrea,1
Swimming,Estonia,3
Swimming,Eswatini,2
Swimming,Ethiopia,1
Swimming,Federated States of Micronesia,2
Swimming,Fiji,2
Swimming,Finland,5
Swimming,France,17
Swimming,Gabon,2
Swimming,Georgia,2
Swimming,Germany,24
Swimming,Ghana,2
Swimming,Great Britain,27
Swimming,Greece,7
Swimming,Grenada,2
Swimming,Guam,2
Swimming,Guatemala,2
Swimming,Guinea,2
Swimming,Guyana,2
Swimming,Haiti,2
Swimming,Honduras,2
Swimming,"Hong Kong, China",6
Swimming,Hungary,20
Swimming,Iceland,2
Swimming,India,3
Swimming,Indonesia,2
Swimming,Ireland,6
Swimming,Islamic Republic of Iran,1
Swimming,Israel,10
Swimming,Italy,29
Swimming,Jamaica,2
Swimming,Japan,25
Swimming,Jordan,1
Swimming,Kazakhstan,2
Swimming,Kenya,2
Swimming,Kosovo,2
Swimming,Kuwait,2
Swimming,Kyrgyzstan,1
Swimming,Lao People's Democratic Republic,2
Swimming,Latvia,2
Swimming,Lebanon,2
Swimming,Libya,1
Swimming,Liechtenstein,2
Swimming,Lithuania,4
Swimming,Luxembourg,2
Swimming,Madagascar,2
Swimming,Malawi,2
Swimming,Malaysia,2
Swimming,Maldives,2
Swimming,Mali,1
Swimming,Malta,2
Swimming,Marshall Islands,2
Swimming,Mauritius,1
Swimming,Mexico,3
Swimming,Monaco,2
Swimming,Mongolia,2
Swimming,Montenegro,2
Swimming,Morocco,2
Swimming,Mozambique,2
Swimming,Nepal,2
Swimming,Netherlands,14
Swimming,New Zealand,6
Swimming,Nicaragua,2
Swimming,Niger,2
Swimming,Nigeria,1
Swimming,North Macedonia,2
Swimming,Norway,4
Swimming,Oman,1
Swimming,Pakistan,2
Swimming,Palau,2
Swimming,Palestine,1
Swimming,Panama,1
Swimming,Papua New Guinea,2
Swimming,Paraguay,2
Swimming,People's Republic of China,25
Swimming,Peru,1
Swimming,Philippines,2
Swimming,Poland,8
Swimming,Portugal,6
Swimming,Puerto Rico,2
Swimming,Qatar,2
Swimming,ROC,28
Swimming,Refugee Olympic Team,2
Swimming,Republic of Korea,8
Swimming,Republic of Moldova,2
Swimming,Romania,3
Swimming,Rwanda,2
Swimming,Saint Lucia,2
Swimming,San Marino,1
Swimming,Saudi Arabia,1
Swimming,Senegal,2
Swimming,Serbia,5
Swimming,Seychelles,2
Swimming,Sierra Leone,2
Swimming,Singapore,3
Swimming,Slovakia,2
Swimming,Slovenia,3
Swimming,Solomon Islands,1
Swimming,South Africa,12
Swimming,Spain,8
Swimming,Sri Lanka,2
Swimming,St Vincent and the Grenadines,2
Swimming,Sudan,2
Swimming,Suriname,1
Swimming,Sweden,10
Swimming,Switzerland,6
Swimming,Syrian Arab Republic,1
Swimming,Tajikistan,2
Swimming,Thailand,2
Swimming,Togo,1
Swimming,Tonga,2
Swimming,Trinidad and Tobago,2
Swimming,Tunisia,1
Swimming,Turkey,10
Swimming,Turkmenistan,2
Swimming,Uganda,2
Swimming,Ukraine,6
Swimming,United Arab Emirates,1
Swimming,United States of America,39
Swimming,Uruguay,2
Swimming,Uzbekistan,2
Swimming,Venezuela,3
Swimming,Vietnam,2
Swimming,"Virgin Islands, British",1
Swimming,"Virgin Islands, US",2
Swimming,Yemen,1
Swimming,Zambia,2
Swimming,Zimbabwe,2
Table Tennis,Algeria,1
Table Tennis,Argentina,2
Table Tennis,Australia,6
Table Tennis,Austria,5
Table Tennis,Brazil,6
Table Tennis,Bulgaria,1
Table Tennis,Cameroon,1
Table Tennis,Canada,3
Table Tennis,Chile,1
Table Tennis,Chinese Taipei,6
Table Tennis,Croatia,3
Table Tennis,Cuba,2
Table Tennis,Czech Republic,3
Table Tennis,Denmark,1
Table Tennis,Ecuador,1
Table Tennis,Egypt,5
Table Tennis,Fiji,1
Table Tennis,France,6
Table Tennis,Germany,6
Table Tennis,Great Britain,3
Table Tennis,Guyana,1
Table Tennis,"Hong Kong, China",6
Table Tennis,Hungary,5
Table Tennis,India,4
Table Tennis,Islamic Republic of Iran,1
Table Tennis,Italy,1
Table Tennis,Japan,6
Table Tennis,Kazakhstan,2
Table Tennis,Luxembourg,2
Table Tennis,Monaco,1
Table Tennis,Mongolia,2
Table Tennis,Netherlands,1
Table Tennis,Nigeria,4
Table Tennis,People's Republic of China,6
Table Tennis,Poland,3
Table Tennis,Portugal,5
Table Tennis,Puerto Rico,3
Table Tennis,ROC,3
Table Tennis,Republic of Korea,6
Table Tennis,Romania,4
Table Tennis,Saudi Arabia,1
Table Tennis,Senegal,1
Table Tennis,Serbia,3
Table Tennis,Singapore,4
Table Tennis,Slovakia,3
Table Tennis,Slovenia,3
Table Tennis,Spain,1
Table Tennis,Sweden,4
Table Tennis,Switzerland,1
Table Tennis,Syrian Arab Republic,1
Table Tennis,Thailand,1
Table Tennis,Togo,1
Table Tennis,Tunisia,2
Table Tennis,Ukraine,3
Table Tennis,United States of America,6
Taekwondo,Afghanistan,1
Taekwondo,Argentina,1
Taekwondo,Australia,4
Taekwondo,Azerbaijan,2
Taekwondo,Belgium,1
Taekwondo,Bosnia and Herzegovina,1
Taekwondo,Brazil,2
Taekwondo,Burkina Faso,1
Taekwondo,Canada,2
Taekwondo,Chinese Taipei,4
Taekwondo,Colombia,2
Taekwondo,Costa Rica,1
Taekwondo,Croatia,3
Taekwondo,Cuba,1
Taekwondo,Côte d'Ivoire,4
Taekwondo,Democratic Republic of the Congo,1
Taekwondo,Dominican Republic,3
Taekwondo,Egypt,4
Taekwondo,Ethiopia,1
Taekwondo,France,2
Taekwondo,Gabon,1
Taekwondo,Germany,1
Taekwondo,Great Britain,5
Taekwondo,Greece,1
Taekwondo,Haiti,1
Taekwondo,Honduras,1
Taekwondo,Hungary,1
Taekwondo,Ireland,1
Taekwondo,Islamic Republic of Iran,3
Taekwondo,Israel,1
Taekwondo,Italy,2
Taekwondo,Japan,4
Taekwondo,Jordan,1
Taekwondo,Kazakhstan,2
Taekwondo,Mali,1
Taekwondo,Mexico,2
Taekwondo,Morocco,3
Taekwondo,New Zealand,1
Taekwondo,Niger,2
Taekwondo,Nigeria,1
Taekwondo,North Macedonia,1
Taekwondo,Norway,1
Taekwondo,People's Republic of China,5
Taekwondo,Philippines,1
Taekwondo,Poland,2
Taekwondo,Portugal,1
Taekwondo,Puerto Rico,1
Taekwondo,ROC,4
Taekwondo,Refugee Olympic Team,3
Taekwondo,Republic of Korea,6
Taekwondo,Serbia,2
Taekwondo,Spain,4
Taekwondo,Thailand,2
Taekwondo,Tonga,1
Taekwondo,Tunisia,1
Taekwondo,Turkey,5
Taekwondo,United States of America,2
Taekwondo,Uzbekistan,4
Taekwondo,Vietnam,1
Tennis,Argentina,7
Tennis,Australia,10
Tennis,Austria,2
Tennis,Belarus,3
Tennis,Belgium,4
Tennis,Bolivia,1
Tennis,Brazil,5
Tennis,Canada,4
Tennis,Chile,1
Tennis,Chinese Taipei,5
Tennis,Colombia,3
Tennis,Croatia,6
Tennis,Czech Republic,6
Tennis,Egypt,2
Tennis,Estonia,1
Tennis,France,9
Tennis,Georgia,1
Tennis,Germany,9
Tennis,Great Britain,5
Tennis,Greece,1
Tennis,Hungary,1
Tennis,India,3
Tennis,Italy,6
Tennis,Japan,10
Tennis,Kazakhstan,7
Tennis,Latvia,1
Tennis,Mexico,2
Tennis,Netherlands,4
Tennis,New Zealand,1
Tennis,Paraguay,1
Tennis,People's Republic of China,5
Tennis,Peru,1
Tennis,Poland,6
Tennis,Portugal,1
Tennis,ROC,8
Tennis,Republic of Korea,1
Tennis,Romania,3
Tennis,Serbia,4
Tennis,Slovakia,3
Tennis,Spain,7
Tennis,Sweden,1
Tennis,Switzerland,2
Tennis,Tunisia,1
Tennis,Ukraine,3
Tennis,United States of America,10
Tennis,Uzbekistan,1
Trampoline Gymnastics,Australia,2
Trampoline Gymnastics,Belarus,2
Trampoline Gymnastics,Canada,2
Trampoline Gymnastics,Colombia,1
Trampoline Gymnastics,Egypt,2
Trampoline Gymnastics,France,2
Trampoline Gymnastics,Great Britain,2
Trampoline Gymnastics,Japan,4
Trampoline Gymnastics,Mexico,1
Trampoline Gymnastics,New Zealand,1
Trampoline Gymnastics,People's Republic of China,4
Trampoline Gymnastics,Portugal,1
Trampoline Gymnastics,ROC,4
Trampoline Gymnastics,Ukraine,1
Trampoline Gymnastics,United States of America,2
Triathlon,Argentina,1
Triathlon,Australia,5
Triathlon,Austria,4
Triathlon,Azerbaijan,1
Triathlon,Belgium,3
Triathlon,Bermuda,1
Triathlon,Brazil,3
Triathlon,Canada,4
Triathlon,Chile,2
Triathlon,Czech Republic,2
Triathlon,Ecuador,1
Triathlon,Egypt,1
Triathlon,Estonia,1
Triathlon,France,5
Triathlon,Germany,4
Triathlon,Great Britain,5
Triathlon,"Hong Kong, China",1
Triathlon,Hungary,4
Triathlon,Ireland,2
Triathlon,Israel,2
Triathlon,Italy,5
Triathlon,Japan,4
Triathlon,Luxembourg,1
Triathlon,Mexico,4
Triathlon,Morocco,1
Triathlon,Netherlands,3
Triathlon,New Zealand,3
Triathlon,Norway,4
Triathlon,People's Republic of China,1
Triathlon,Portugal,3
Triathlon,ROC,4
Triathlon,Romania,1
Triathlon,South Africa,4
Triathlon,Spain,5
Triathlon,Switzerland,4
Triathlon,Syrian Arab Republic,1
Triathlon,Ukraine,1
Triathlon,United States of America,5
Volleyball,Argentina,23
Volleyball,Brazil,23
Volleyball,Canada,12
Volleyball,Dominican Republic,12
Volleyball,France,11
Volleyball,Islamic Republic of Iran,12
Volleyball,Italy,22
Volleyball,Japan,22
Volleyball,Kenya,12
Volleyball,People's Republic of China,12
Volleyball,Poland,11
Volleyball,ROC,22
Volleyball,Republic of Korea,12
Volleyball,Serbia,12
Volleyball,Tunisia,10
Volleyball,Turkey,12
Volleyball,United States of America,22
Volleyball,Venezuela,12
Water Polo,Australia,25
Water Polo,Canada,13
Water Polo,Croatia,12
Water Polo,Greece,12
Water Polo,Hungary,25
Water Polo,Italy,12
Water Polo,Japan,23
Water Polo,Kazakhstan,11
Water Polo,Montenegro,13
Water Polo,Netherlands,13
Water Polo,People's Republic of China,12
Water Polo,ROC,12
Water Polo,Serbia,13
Water Polo,South Africa,22
Water Polo,Spain,26
Water Polo,United States of America,25
Weightlifting,Albania,2
Weightlifting,Algeria,1
Weightlifting,American Samoa,1
Weightlifting,Armenia,2
Weightlifting,Australia,5
Weightlifting,Austria,2
Weightlifting,Belarus,2
Weightlifting,Belgium,2
Weightlifting,Botswana,1
Weightlifting,Brazil,2
Weightlifting,Bulgaria,2
Weightlifting,Cameroon,2
Weightlifting,Canada,5
Weightlifting,Chile,2
Weightlifting,Chinese Taipei,7
Weightlifting,Colombia,3
Weightlifting,Cuba,4
Weightlifting,Czech Republic,1
Weightlifting,Dominican Republic,4
Weightlifting,Ecuador,4
Weightlifting,France,4
Weightlifting,Georgia,4
Weightlifting,Germany,3
Weightlifting,Ghana,1
Weightlifting,Great Britain,4
Weightlifting,Greece,1
Weightlifting,Guatemala,1
Weightlifting,Hungary,1
Weightlifting,Indonesia,5
Weightlifting,Islamic Republic of Iran,2
Weightlifting,Israel,1
Weightlifting,Italy,3
Weightlifting,Japan,7
Weightlifting,Kazakhstan,2
Weightlifting,Kiribati,1
Weightlifting,Kyrgyzstan,1
Weightlifting,Latvia,2
Weightlifting,Lebanon,1
Weightlifting,Lithuania,1
Weightlifting,Madagascar,2
Weightlifting,Malta,1
Weightlifting,Mauritius,1
Weightlifting,Mexico,4
Weightlifting,Mongolia,2
Weightlifting,Morocco,1
Weightlifting,Nauru,1
Weightlifting,Netherlands,1
Weightlifting,New Zealand,5
Weightlifting,Nicaragua,1
Weightlifting,Oman,1
Weightlifting,Pakistan,1
Weightlifting,Palestine,1
Weightlifting,Papua New Guinea,1
Weightlifting,People's Republic of China,7
Weightlifting,Peru,1
Weightlifting,Philippines,2
Weightlifting,Poland,3
Weightlifting,ROC,2
Weightlifting,Refugee Olympic Team,1
Weightlifting,Republic of Korea,7
Weightlifting,Republic of Moldova,2
Weightlifting,Saudi Arabia,2
Weightlifting,Solomon Islands,1
Weightlifting,Spain,4
Weightlifting,Sweden,1
Weightlifting,Syrian Arab Republic,1
Weightlifting,Tonga,1
Weightlifting,Tunisia,5
Weightlifting,Turkey,1
Weightlifting,Turkmenistan,4
Weightlifting,Ukraine,2
Weightlifting,United States of America,8
Weightlifting,Uzbekistan,4
Weightlifting,Venezuela,4
Weightlifting,Vietnam,2
Wrestling,Algeria,7
Wrestling,Argentina,1
Wrestling,Armenia,6
Wrestling,Azerbaijan,7
Wrestling,Belarus,8
Wrestling,Brazil,3
Wrestling,Bulgaria,7
Wrestling,Canada,4
Wrestling,Chile,1
Wrestling,Colombia,3
Wrestling,Croatia,1
Wrestling,Cuba,12
Wrestling,Czech Republic,1
Wrestling,Denmark,1
Wrestling,Ecuador,2
Wrestling,Egypt,8
Wrestling,Estonia,2
Wrestling,Finland,2
Wrestling,France,2
Wrestling,Georgia,7
Wrestling,Germany,7
Wrestling,Greece,2
Wrestling,Guam,1
Wrestling,Guinea,1
Wrestling,Guinea-Bissau,2
Wrestling,Hungary,5
Wrestling,India,7
Wrestling,Islamic Republic of Iran,11
Wrestling,Italy,2
Wrestling,Japan,11
Wrestling,Kazakhstan,10
Wrestling,Kosovo,1
Wrestling,Kyrgyzstan,9
Wrestling,Latvia,1
Wrestling,Lithuania,1
Wrestling,Mexico,2
Wrestling,Mongolia,9
Wrestling,Morocco,1
Wrestling,Nigeria,5
Wrestling,North Macedonia,1
Wrestling,People's Republic of China,11
Wrestling,Peru,1
Wrestling,Poland,6
Wrestling,Puerto Rico,1
Wrestling,ROC,16
Wrestling,Refugee Olympic Team,1
Wrestling,Republic of Korea,2
Wrestling,Republic of Moldova,2
Wrestling,Romania,5
Wrestling,San Marino,1
Wrestling,Senegal,1
Wrestling,Serbia,4
Wrestling,Slovakia,1
Wrestling,Sweden,3
Wrestling,Switzerland,1
Wrestling,Tunisia,9
Wrestling,Turkey,9
Wrestling,Ukraine,9
Wrestling,United States of America,14
Wrestling,Uzbekistan,8
